timestamp,elapsed_s,vram_used_mb,vram_total_mb,vram_free_mb,gpu_temp_c,gpu_power_w,gpu_util_pct,gpu_clock_mhz,gpu_pstate,cpu_pct,ram_used_gb,ram_total_gb,cpu_temp_c
2026-03-11T15:08:28.526813,0.0,22911,97887,74450,65,109.03,22,2325,P1,3.8,35.8,191.4,
2026-03-11T15:08:38.574107,10.0,22958,97887,74403,65,112.07,22,2325,P1,7.8,33.1,191.4,
2026-03-11T15:08:48.605944,20.1,7052,97887,90309,65,107.76,8,2332,P1,5.1,21.8,191.4,
2026-03-11T15:08:58.640713,30.1,7045,97887,90316,65,112.78,19,2325,P1,4.6,22.1,191.4,
2026-03-11T15:09:08.678311,40.2,7037,97887,90324,65,107.03,9,2325,P1,4.5,21.8,191.4,
2026-03-11T15:09:18.734504,50.2,7051,97887,90310,65,112.02,20,2325,P1,4.5,21.8,191.4,
2026-03-11T15:09:28.767897,60.2,7037,97887,90324,65,110.73,20,2325,P1,4.9,21.8,191.4,
2026-03-11T15:09:38.819117,70.3,7037,97887,90324,65,110.9,13,2325,P1,4.7,21.8,191.4,
2026-03-11T15:09:48.858096,80.3,7037,97887,90324,65,110.65,15,2325,P1,4.6,21.8,191.4,
2026-03-11T15:09:58.898813,90.4,7051,97887,90310,65,109.81,14,2325,P1,4.6,21.8,191.4,
2026-03-11T15:10:08.949302,100.4,7037,97887,90324,65,110.93,14,2325,P1,4.9,21.8,191.4,
2026-03-11T15:10:18.985429,110.5,7052,97887,90309,65,112.04,22,2325,P1,4.6,21.8,191.4,
2026-03-11T15:10:29.026968,120.5,7037,97887,90324,65,106.62,5,2317,P1,4.4,21.9,191.4,
2026-03-11T15:10:39.076245,130.5,7020,97887,90341,65,105.6,8,2325,P1,4.7,22.0,191.4,
2026-03-11T15:10:49.115512,140.6,7060,97887,90301,65,104.82,8,2325,P1,4.5,21.8,191.4,
2026-03-11T15:10:59.150344,150.6,7028,97887,90333,65,104.56,8,2325,P1,4.6,21.8,191.4,
2026-03-11T15:11:09.193628,160.7,7045,97887,90316,65,112.12,20,2325,P1,3.8,21.8,191.4,
2026-03-11T15:11:19.232655,170.7,7045,97887,90316,65,109.38,7,2325,P1,3.8,21.8,191.4,
2026-03-11T15:11:29.274825,180.7,7045,97887,90316,65,110.61,20,2325,P1,4.0,21.8,191.4,
2026-03-11T15:11:39.317826,190.8,7028,97887,90333,65,112.32,20,2325,P1,4.3,21.8,191.4,
2026-03-11T15:11:49.366111,200.8,7028,97887,90333,65,110.63,20,2325,P1,3.8,21.8,191.4,
2026-03-11T15:11:59.410745,210.9,7028,97887,90333,65,108.79,13,2325,P1,4.4,21.9,191.4,
2026-03-11T15:12:09.457022,220.9,7045,97887,90316,65,110.85,19,2325,P1,4.3,21.8,191.4,
2026-03-11T15:12:19.496876,231.0,7045,97887,90316,65,110.99,14,2325,P1,4.0,21.8,191.4,
2026-03-11T15:12:29.546467,241.0,7045,97887,90316,65,112.61,20,2325,P1,3.8,21.8,191.4,
2026-03-11T15:12:39.591565,251.1,7028,97887,90333,65,110.33,19,2325,P1,4.2,21.8,191.4,
